Grade,Topic,Subtopic,Activity Type,Activity Name,Description,Location
Class 5,Reading,Inferential Comprehension,Practice,Match: Cause and Effect ,Students match causes with their effects.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a461.swf
Class 5,Reading,Inferential Comprehension,Practice,Match: Problems and Solutions ,Students match problems with their solutions based on a biographical text.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a604.swf
Class 5,Reading,Inferential Comprehension,Instruction,Vocabulary Strategies: Recognising New Words while Reading,An introduction to strategies for recognising new words when reading.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a590.swf
Class 5,Reading,Inferential Comprehension,Practice,Venn Diagram: Sort Information: Child and Adult,Students organise information from a biographical text into a Venn diagram.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/Venn/x_a587.swf
Class 5,Reading,Inferential Comprehension,Instruction,Kalpana Chawla: A Star in the Sky,A biographical text about an Indian astronaut.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a246.swf
Class 5,Reading,Inferential Comprehension,Practice,Timelines: Find the Right Answer,Students answer questions about a person based on their biography.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r299/x_a299.swf
Class 5,Reading,Inferential Comprehension,Practice,Thomas Edison,A biographical text about the inventor Thomas Edison.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a255.swf
Class 5,Reading,Inferential Comprehension,Practice,Timelines: Find the Right Answer,Students answer questions based on a biographical text.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r436/x_a436.swf
Class 5,Reading,Inferential Comprehension,Practice,Build a Periscope: Procedure,A procedural text about building a periscope.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Info/x_a273.swf
Class 5,Reading,Analytical Reading,Practice,Sort Character? Plot and Setting ,Students sort information about character? plot and setting into categories. ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/InfoSort/x_a473.swf
Class 5,Reading,Analytical Reading,Practice,Sequence Steps in a Procedure ,Students place steps for building a periscope in the corect order.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/SQ/x_a639.swf
Class 5,Reading,Analytical Reading,Practice,Match the Words with the Definitions,Students match words with their definitions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a556.swf
Class 5,Reading,Analytical Reading,Practice,Find Sentences that are Exaggerations,Students identify sentences that are exaggerations.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a501.swf
Class 5,Reading,Analytical Reading,Practice,Venn Diagram: Character Comparison,Students organise information about characters from a story into a Venn diagram.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/Venn/x_a468.swf
Class 5,Reading,Analytical Reading,Practice,Schedule: Find the Right Answers,Students answer questions abuot the schedule of events in an adventure story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r437/x_a437.swf
Class 5,Reading,Analytical Reading,Practice,Predict the Technical Text Based on a Picture,Students predict what a technical text will be about? based on a picture from it.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a582.swf
Class 5,Reading,Analytical Reading,Practice,Sort Information about Thomas Edison,Students sort information into categories. ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/InfoSort/x_a470.swf
Class 5,Reading,Analytical Reading,Practice,Predict the Story Based on a Picture,Students predict what will happen in a story? based on a picture from the story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a618.swf
Class 5,Reading,Analytical Reading,Practice,Sequence Events from an Adventure,Students place events from an adventure story in the correct order.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/SQ/x_a795.swf
Class 5,Reading,Analytical Reading,Practice,Find Information in a Text,Students find information in a piece of text.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a479.swf
Class 5,Reading,Analytical Reading,Practice,Sort Information: Fact or Opinion,Students sort information according to whether it is fact or opinion.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/SortingTables/x_a456.swf
Class 5,Reading,Reading for Fun,Practice,Life in a Space Station,A newspaper article about life in a space station.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a249.swf
Class 5,Reading,Reading for Fun,Practice,Indian Team Wins World T20 Cricket Title: News Article,A news article about the Indian cricket team.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Info/x_a257.swf
Class 5,Reading,Reading for Fun,Practice,The History of Cricket: Information Text,An informational text about cricket.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a258.swf
Class 5,Reading,Reading for Fun,Practice,Magpie Spring: Realistic Fiction,A story about a boy and a lost pet.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a253.swf
Class 5,Reading,Reading for Fun,Practice,At Home in the Rainforest: Informational Text,An informational text about the rainforest.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a254.swf
Class 5,Reading,Reading for Fun,Practice,Starring Miss Perfect: Chapter 1,The first chapter of a realistic fiction story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a261.swf
Class 5,Reading,Reading for Fun,Practice,Starring Miss Perfect: Chapter 2,The second chapter of a realistic fiction story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a806.swf
Class 5,Reading,Reading for Fun,Practice,Starring Miss Perfect: Chapter 3,The third chapter of a realistic fiction story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a262.swf
Class 5,Reading,Reading for Fun,Practice,Dive into the Bengal Bay Aquarium: Brochure,A brochure for the Bengal Bay Aquarium.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Info/x_a266.swf
Class 5,Reading,Reading for Fun,Practice,Aquarium Exhibit Plaques,Information about the different exhibits in Bengal Bay Aquarium.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a267.swf
Class 5,Reading,Reading for Fun,Practice,Tall Tale Song,A rhyme about tall tales.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a516.swf
Class 5,Reading,Reading for Fun,Practice,Pamba Rani,A tall tale about a strong woman called Pamba Rani.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a800.swf
Class 5,Reading,Reading for Fun,Practice,Geeta's Letter,A letter from a girl to her friend.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a245.swf
Class 5,Reading,Reading for Fun,Practice,Tarun's E-mail,An e-mail from a boy to his uncle.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Info/x_a810.swf
Class 5,Reading,Reading for Fun,Practice,Nico's Gift: Chapter 1,The first chapter of a historical fiction story about a boy and his family.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a269.swf
Class 5,Reading,Reading for Fun,Practice,Nico's Gift: Chapter 2,The second chapter of a historical fiction story about a boy and his family.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a270.swf
Class 5,Reading,Reading for Fun,Practice,Nico's Gift: Chapter 3,The third chapter of a historical fiction story about a boy and his family.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a271.swf
Class 5,Reading,Reading for Fun,Practice,Periscopes: Technical Text,A technical text about periscopes.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a272.swf
Class 5,Reading ,Reading for Fun,Practice,Fog,A poem about fog.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Poems/x_a239.swf
Class 5,Writing,Organized Writing,Practice,Write a Narrative Fiction Story,Students choose a piece of information and use it to write a story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a534.swf
Class 5,Writing,Organized Writing,Practice,Write Informational Text or a Fiction Story,Students choose a topic and write a story about it.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a486.swf
Class 5,Writing,Organized Writing,Practice,Write a Persuasive Paragraph,Students choose a topic and write a persuasive paragraph about it.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a402.swf
Class 5,Writing,Organized Writing,Practice,Write a Personal Diary Entry,Students write a diary entry for one day. ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a401.swf
Class 5,Writing,Creative Writing,Practice,Write Interview Questions 1,Students write questions to help research a short biography of a classmate.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a392.swf
Class 5,Writing,Creative Writing,Practice,Write Interview Questions 2,Students write questions to help research a short biography of a parent or friend.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a397.swf
Class 5,Writing,Creative Writing,Practice,Write Questions for a Report,Students write questions to help them research a report about their chosen animal.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a389.swf
Class 5,Writing,Creative Writing,Practice,Write to Compare Life Then and Now,Students answer questions to compare life now with life in the past.,english/content/language_arts/DR2_en-IN/dr2/dr2/cm/launch.html?../TExtEntry/WritersPad/x_a462.swf
Class 5,Writing,Creative Writing,Practice,Write Questions about Another Time Period,Students write questions to help them find out about life in the past.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a333.swf
Class 5,Writing,Creative Writing,Practice,Write Your Own News Questions,Students write questions to help research a newspaper article.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a394.swf
Class 5,Writing,Creative Writing,Practice,Write Questions to Ask a Character,Students write questions they would ask to solve the mystery in the story. ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a485.swf
Class 5,Writing,Creative Writing,Practice,Write a New Ending to an Mystery,Students write a new ending for a mystery story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a395.swf
Class 5,Writing,Creative Writing,Practice,Write a Problem-Solution Story,Students choose an animal and write a story about how the animal helped them.,english/content/language_arts/DR2_en-IN/dr2/dr2/cm/launch.html?../TExtEntry/WritersPad/x_a638.swf
Class 5,Writing,Creative Writing,Practice,At Home in the Rainforest: Informational Text,An informational text about the rainforest.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a254.swf
Class 5,Writing,Creative Writing,Practice ,Write a Realistic Fiction Story,Students write a realistic fiction story using a new setting.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a464.swf
Class 5,Writing,Creative Writing,Practice,Write Your Own Science Fiction Story,Students write their own science fiction story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a406.swf
Class 5,Writing,Creative Writing,Practice,Write Your Own Legend,Students write their own story explaining how something in nature came to be.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a592.swf
Class 5,Writing,Creative Writing,Practice,Write about Another Time Period,Students choose a time period and write a story that takes place during that time.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a404.swf
Class 5,Writing,Creative Writing,Practice,Write from a Character's Point of View ,Students write a letter from the point of view of the spider in the story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a463.swf
Class 5,Writing,Creative Writing,Practice,Write Your Own Acrostic Poem,Students write their own acrostic poem.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a390.swf
Class 5,Writing,Creative Writing,Practice,Write Exaggerated Sentences,Students write sentences using exaggerations.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a403.swf
Class 5,Writing,Creative Writing,Practice,Write a Procedure ,Students choose a topic and write a procedure for it.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a405.swf
Class 5,Writing,Basics of Writing,Instruction,Features of a News Article,An informational graphic about news articles.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r524/x_a524.swf
Class 5,Writing,Basics of Writing,Practice,Write a Newspaper Article,Students choose a headline and write a newspaper article about it.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a398.swf
Class 5,Writing,Basics of Writing,Instruction,Features of Persuasive Writing,An informational graphic about brochures.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r525/x_a525.swf
Class 5,Writing,Basics of Writing,Instruction,Features of a Letter,An informational graphic about letters.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r514/x_a514.swf
Class 5,Writing,Basics of Writing,Practice,Write a Personal Letter,Students practice writing a letter.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a391.swf
Class 5,Vocabulary,Synonyms,Practice,Match the Synonyms ,A game in which students match pairs of synonyms.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r564/x_a564.swf
Class 5,Vocabulary,Antonyms,Practice,Match the Antonyms 1,A game in which students match pairs of antonyms.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r557/x_a557.swf
Class 5,Vocabulary,Antonyms,Practice,Match the Antonyms 2,Students match pairs of antonyms. ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r624/x_a624.swf
Class 5,Vocabulary,Antonyms,Practice,Match the Antonyms 3,A game in which students match pairs of antonyms.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r583/x_a583.swf
Class 5,Vocabulary,Compound Words,Instruction,Create Compound Words,Students practice creating new words by joining words together.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Conveyor/r608/x_a608.swf
Class 5,Vocabulary,Compound Words,Practice,Break-a-Word: Compound Words,Students practice separating compound words into separate words.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/BustaWord/r787/x_a787.swf
Class 5,Vocabulary,Prefixes and Suffixes,Practice,Create New Words: Prefixes (un? dis? re)? Suffixes (ly? ful? en) and Compound Words,Students practice creating new words by adding prefixes and suffixes and by joining words together.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Conveyor/r571/x_a571.swf
Class 5,Vocabulary,Prefixes and Suffixes,Practice,Break-a-Word: Prefixes (un? dis? re)? Suffixes (ly? ful? en) and Compound Words,Students practice separating prefixes and suffixes from root words? and compound words into separate words.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/BustaWord/r573/x_a573.swf
Class 5,Vocabulary,Prefixes and Suffixes,Instruction,Create New Words: Prefixes (mis? non? pre),Students practice creating new words by adding prefixes.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Conveyor/r788/x_a788.swf
Class 5,Vocabulary,Prefixes and Suffixes,Practice,Break-a-Word: Prefixes (mis? non? pre),Students practice separating prefixes from root words.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/BustaWord/r789/x_a789.swf
Class 5,Vocabulary,Prefixes and Suffixes,Instruction,Create New Words: Suffixes (est? en? less? ness),Students practice creating new words by adding suffixes.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Conveyor/r434/x_a434.swf
Class 5,Vocabulary,Prefixes and Suffixes,Practice,Break-a-Word: Suffixes (est? en? less? ness),Students practice separating suffixes from root words.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/BustaWord/r790/x_a790.swf
Class 5,Vocabulary,Prefixes and Suffixes,Practice,Create New Words: Prefixes and Suffixes (mis-? non-? pre-? -est? -en? -less? -ness),Students practice creating new words by adding prefixes and suffixes.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Conveyor/r577/x_a577.swf
Class 5,Vocabulary,Prefixes and Suffixes,Practice,Break-a-Word: Prefixes and Suffixes (mis? non? pre? est? en? less? ness),Students practice separating prefixes and suffixes from root words.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/BustaWord/r797/x_a797.swf
Class 5,Vocabulary,Homophones,Practice,Homophones in Sentences 1,Students explore how homophones can change the meaning of sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/SillySentences/x_a559.swf
Class 5,Vocabulary,Homophones,Practice,Homophones in Sentences 2,Students explore how homophones can change the meaning of sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/SillySentences/x_a558.swf
Class 5,Vocabulary,New Words,Instruction,Vocabulary Strategies: Recognising New Words while Reading,An introduction to strategies for recognising new words when reading.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a590.swf
Class 5,Vocabulary,New Words,Practice,Find New Words within Longer Words,Students practice recognising new words by finding shorter words in them.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a574.swf
Class 5,Grammar,Nouns,Instruction,The Noun Song,A song explaining that nouns are names of people? places? animals or things.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a410.swf
Class 5,Grammar,Nouns,Instruction,Proper Nouns: Introduction,An introduction to proper nouns.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a770.swf
Class 5,Grammar,Nouns,Practice,Identify Proper Nouns 1,Students identify proper nouns in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a771.swf
Class 5,Grammar,Nouns,Practice,Identify Proper Nouns 2,Students identify proper nouns in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a796.swf
Class 5,Grammar,Nouns,Instruction,Possessive Nouns: Introduction,An introduction to possessive nouns.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a281.swf
Class 5,Grammar,Nouns,Practice,Identify Possessive Nouns,Students identify possessive nouns in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a293.swf
Class 5,Grammar,Nouns,Instruction,Words Beginning with Capital Letters on Stage,An introduction to why some words begin with capital letters.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a425.swf
Class 5,Grammar,Singular and Plural,Practice,Match Singular and Plurals 1,Students match singular nouns with their plurals.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r616/x_a616.swf
Class 5,Grammar,Singular and Plural,Practice,Match Singular and Plurals 2,A game in which students match words with their plurals.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r620/x_a620.swf
Class 5,Grammar,Pronouns,Instruction,Pronouns: Introduction,An introduction to pronouns.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a496.swf
Class 5,Grammar,Pronouns,Practice,Identify Pronouns,Students identify pronouns in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a593.swf
Class 5,Grammar,Verbs,Instruction,Verbs: Introduction,An introduction to action words or verbs.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a419.swf
Class 5,Grammar,Verbs,Practice,Complete the Sentence: Verbs,Students choose the correct verbs to complete sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/CP/x_a285.swf
Class 5,Grammar,Verbs,Practice,Complete the Sentence: Irregular Verbs: Past and Present Forms,Students use irregular verbs to complete sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/CP/x_a288.swf
Class 5,Grammar,Subject- Verb Agreement,Instruction,Subject-Verb Agreement A,An introduction to subject-verb agreement.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a282.swf
Class 5,Grammar,Subject- Verb Agreement,Practice,Identify Sentences with Correct Subject-Verb Agreement 1,Students identify sentences in which the subject agrees with the verb.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r292/x_a292.swf
Class 5,Grammar,Subject- Verb Agreement,Practice,Identify Sentences with Correct Subject-Verb Agreement 2,Students choose sentences in which subject and verb agree.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r570/x_a570.swf
Class 5,Grammar,Punctuations,Practice,Match the Contractions 1,A game in which students match pairs of words with contractions of those words.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r543/x_a543.swf
Class 5,Grammar,Punctuations,Practice,Match the Contractions 2,A game in which students match words with their contractions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r798/x_a798.swf
Class 5,Grammar,Punctuations,Practice,Match the Abbreviations 1,A game in which students match words with their abbreviations.,english/content/language_arts/DR2_en-IN/dr2/dr2/cm/launch.html?../PC/HollyWPairs/r773/x_a773.swf
Class 5,Grammar,Punctuations,Practice,Match the Abbreviations 2,A game in which students match words with their abbreviations.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r794/x_a794.swf
Class 5,Grammar,Punctuations,Instruction,End of Sentence Punctuation,An introduction to end-of-sentence punctuation marks in different types of sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a409.swf
Class 5,Grammar,Punctuations,Practice,Identify Sentences with Lists,Students identify sentences with lists.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a778.swf
Class 5,Grammar,Adjectives,Instruction,Adjectives: Introduction 2,A dialogue that uses adjectives to describe a lizard.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a785.swf
Class 5,Grammar,Adjectives,Instruction,Adjectives: Introduction 2,A dialogue that uses adjectives to describe a lizard.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a785.swf
Class 5,Grammar,Adjectives,Practice,Complete the Sentence: Nouns and Adjectives,Students use nouns and adjectives to complete sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/CP/x_a412.swf
Class 5,Grammar,Sentences,Practice,Compound Words in Sentences,Students explore how different compound words can change the meaning of sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/SillySentences/x_a628.swf
Class 5,Grammar,Conjunctions,Instruction,Conjunctions- and? or? and but: Conjunctions,An introduction to the conjunctions and? or and but.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a422.swf
Class 5,Grammar,Conjunctions,Practice,Identify Conjunctions- and? or? and but,Students identify conjunctions in sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a428.swf
Class 5,Grammar,Adverbs,Practice,The Adverb Song,A rhyme about adverbs.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a623.swf
Class 5,Grammar,Adverbs,Practice,Identify Verbs and Adverbs,Students identify verbs and adverbs in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a429.swf
